#{"t_start": 1764374475.2067072, "env_id": "intersection-v1"}
r,l,t
6.931708,11,0.770656
-3.699854,9,1.34175
7.0,8,1.702259
5.604284,13,2.668767
-3.301711,6,3.126917
-2.436558,8,3.985111
0.0,13,4.891331
3.85919,13,5.739602
5.562945,13,6.391531
-1.318719,6,6.864299
6.562942,10,7.571194
-2.365057,5,8.022041
1.0,13,8.694937
7.154484,13,9.501607
3.553186,13,10.578878
7.259887,12,11.525573
-2.701696,6,11.971886
4.077598,13,12.942935
-2.527139,12,13.945004
-3.46297,13,15.085176
-3.316297,6,15.397285
1.549796,13,16.649897
2.552127,13,17.240243
1.549861,13,18.443511
7.538963,11,19.196695
-1.0,9,19.79086
7.61742,11,20.500944
-2.749661,9,20.908319
-3.712106,7,21.331222
7.475492,12,22.427133
4.306848,13,22.879127
-1.446814,7,23.294322
-1.379585,6,23.604908
1.613583,13,24.259104
2.555036,7,24.664196
-1.447446,7,25.28893
0.0,13,26.428305
2.563374,13,27.031825
-2.318366,6,27.450619
-2.436558,6,28.039897
6.537046,11,28.615992
0.0,5,29.065257
-3.0,6,29.50166
-1.0,4,29.898953
4.0,13,31.152325
8.0,8,31.497801
-1.379585,6,31.757221
-1.0,5,31.915285
4.141404,13,32.477295
5.0,13,33.392019
3.0,13,34.245107
2.0,13,36.219154
3.169767,13,37.152767
-0.57992,5,37.37001
4.459716,13,38.076896
-1.0,5,38.390724
0.0,6,38.846725
6.616343,13,39.871274
-1.0,5,40.144209
8.617423,11,40.789418
8.62673,10,41.191536
2.549797,13,41.783835
-2.448612,13,43.404022
1.0,13,44.678448
-1.84084,4,44.915676
-1.0,5,45.282643
-4.38443,8,46.008142
0.0,6,46.351118
7.550321,10,46.920695
-2.0,4,47.259414
6.101754,13,47.989154
5.457495,13,48.67031
2.288023,13,49.667508
-1.299552,4,49.963928
-2.0,4,50.178355
-2.436558,7,50.62867
8.62673,10,51.400186
4.550179,13,52.310914
-5.0,1,52.441332
6.0,13,53.383208
2.549805,13,54.309598
6.536747,11,55.457484
-3.372844,6,55.723895
4.11316,13,56.909699
0.0,13,57.495314
2.179964,13,58.1976
2.0,8,58.588255
0.0,5,59.017885
5.172098,13,60.144338
0.618567,8,60.455952
-2.577249,3,60.637696
6.102295,13,61.215845
-2.743026,7,61.649964
-2.296811,6,61.968499
0.0,13,63.028564
-2.0,6,63.440238
-2.382567,7,63.932062
3.181311,13,64.977049
8.615844,10,65.453831
7.091384,12,66.131134
-1.0,8,66.636631
5.114796,13,67.243129
6.095587,13,68.002481
-2.318366,9,68.539302
-2.0,4,68.776832
4.233276,13,69.245342
-5.0,1,69.395412
7.141752,13,71.30162
-2.463352,13,72.550761
-3.008716,7,72.964149
-1.447446,7,73.52931
0.0,6,73.855872
6.0,13,74.56273
-1.0,6,74.799402
-2.0,6,75.157355
-2.365057,5,75.420053
6.618567,10,76.055337
2.875105,13,77.025083
9.0,9,77.49603
8.615844,10,78.39507
6.617508,11,79.213182
-3.0,8,79.471501
-0.841249,5,79.717069
-1.372771,5,80.040665
-1.0,6,80.270476
7.245512,13,81.046818
-1.372771,6,81.37055
-1.373258,7,81.977889
-0.366834,7,82.493345
2.629652,13,83.300317
-1.524421,8,83.68974
-2.687862,6,83.98842
3.473824,13,84.591418
3.250501,13,85.29595
0.0,6,85.822939
9.0,9,86.527085
6.616072,13,87.322544
1.0,7,87.757473
7.525491,12,88.535308
-1.0,5,88.977197
9.0,9,89.385928
-1.542452,11,89.960774
8.615645,10,90.750461
5.126012,10,91.453421
5.472874,13,92.087086
0.0,6,92.441699
7.617435,9,92.946766
4.224745,13,93.930691
-1.700382,7,94.294906
-1.0,5,94.773183
8.615645,10,95.30465
6.616343,12,95.640653
6.459006,13,96.693987
4.536978,13,97.275152
-1.0,7,97.700211
1.0,13,99.101364
-3.0,12,99.855383
-2.461745,10,100.89218
-1.0,6,101.500882
7.0,10,102.088439
9.0,9,102.67384
-2.288439,6,102.892064
-1.436972,7,103.202435
6.154648,11,104.949636
6.633114,13,105.642925
-1.94673,5,106.119651
-1.746906,6,106.653921
-1.366575,6,107.207041
9.0,9,107.768996
4.534348,13,108.973154
8.0,8,109.625266
7.250792,10,109.962347
-2.0,7,110.464434
0.0,6,110.952493
6.459345,13,112.163762
5.457808,13,113.110599
-3.449736,7,113.918171
6.297112,9,114.484011
-1.0,5,114.954966
7.681208,9,115.479822
9.0,9,116.115772
-2.436558,6,116.645298
0.0,6,117.102317
-2.0,6,117.60964
5.604556,13,118.765347
1.420002,7,119.273633
-1.366575,6,119.622374
-3.449736,8,120.144595
-4.0,6,120.555773
-1.57953,4,120.874677
-1.0,5,121.290869
9.0,9,121.658378
8.681208,10,122.251649
6.561352,11,123.161788
7.550321,10,123.737169
0.0,6,124.409397
-2.436558,6,124.945523
5.925312,11,125.599533
8.0,9,126.198239
3.0,13,127.26813
-1.746906,6,127.711926
7.615917,9,128.664304
-2.537503,9,129.277751
-2.0,6,129.530561
0.0,6,129.974374
6.101371,13,130.886887
1.0,7,131.415674
8.615844,10,132.128059
0.0,6,132.451149
0.0,6,132.882613
-1.526176,8,133.485987
8.0,8,133.868245
-1.318719,6,134.176642
9.0,9,134.646031
-1.372771,6,134.908153
-0.366834,7,135.644091
-1.318719,6,135.957751
6.633121,10,136.398752
5.538187,13,137.435621
8.0,11,138.57212
8.62673,10,139.391143
4.459725,13,140.192796
-2.0,4,140.415603
-2.436558,7,140.880239
-1.318719,6,141.201494
-1.372771,6,141.595471
8.0,9,143.481374
-2.0,5,143.87937
7.633114,9,144.273717
6.121678,11,145.24173
9.0,9,145.893708
10.0,10,146.68353
0.0,6,147.097446
-0.382068,7,147.746768
-1.372771,6,148.174688
0.420014,6,148.667845
-1.0,5,148.971314
-1.57953,4,149.425377
8.615645,10,150.127197
7.242743,10,150.908266
9.0,9,151.483176
-1.0,5,151.813634
6.259894,10,152.416814
7.616072,10,153.063578
-1.684108,7,153.544931
-1.379585,6,154.015591
9.0,9,154.493124
8.475491,12,155.5087
9.0,9,156.130101
8.617423,10,156.846134
-2.0,4,157.138284
8.615844,10,157.908458
10.0,10,158.783377
7.626732,9,159.115934
-1.447944,8,159.528075
-2.436558,6,159.877202
6.468775,12,160.703279
7.306361,10,161.604646
9.0,9,162.18493
-2.000061,6,162.604773
-0.841249,5,162.83711
6.194517,12,163.810908
-2.0,6,164.224521
-0.841249,5,164.4389
9.0,9,165.257118
-3.460636,7,165.726835
0.0,6,166.092118
8.0,8,166.540232
7.615917,9,167.240355
5.905332,11,167.780472
9.0,10,168.531983
-2.0,6,169.038983
6.459815,13,170.132543
-0.208219,7,170.557361
-1.0,5,170.84027
4.208808,13,172.298874
10.0,10,172.772561
-2.0,4,173.061503
-1.372771,6,173.395687
-1.0,6,173.782133
9.0,13,174.981944
0.0,6,175.351696
0.0,6,175.701069
6.231769,11,176.489932
-1.0,5,176.974761
6.165408,12,178.031541
8.169918,12,178.54279
-1.0,5,179.002361
-1.372771,6,179.394901
7.472962,11,181.095219
-2.436558,6,181.294741
0.420014,6,181.746831
0.0,6,182.470382
-1.0,5,182.933861
0.0,6,183.475542
10.0,10,184.165545
-1.0,5,184.490997
9.0,9,184.888061
-1.372771,6,185.123962
-1.28843,7,185.456065
2.0,8,185.897579
-2.444964,5,186.069139
-0.373185,7,186.537216
-1.379585,6,186.940993
-1.0,5,187.34834
-2.0,4,187.715662
6.297112,9,188.077369
7.538649,11,188.665428
11.0,11,189.219935
10.0,10,189.793155
8.615645,10,190.45406
-0.299923,5,190.843128
7.615917,9,191.480028
10.0,10,192.047119
-1.0,5,192.396985
-1.379585,6,192.788487
0.0,6,193.116891
-1.0,5,193.54791
1.0,7,194.101537
-2.4629,8,194.528084
-1.0,5,195.000076
7.633114,9,195.543824
-1.366575,5,195.817652
-1.372771,5,196.083069
-1.0,6,196.482907
-5.0,1,196.560435
0.0,6,197.137795
-1.0,5,197.914037
-1.0,5,198.104917
-1.675491,5,198.505444
1.0,7,198.891056
0.0,5,199.285767
8.0,8,200.098726
-1.746906,6,200.513905
7.626732,9,200.945655
7.475491,12,201.912183
-2.370348,6,202.336121
9.0,9,202.684634
0.0,6,203.127862
9.0,9,204.07528
6.90349,13,204.935031
9.0,9,205.712503
-1.84084,4,206.081111
-3.299509,6,206.383065
0.0,6,206.66898
6.617508,9,207.457925
9.0,9,208.112766
0.0,6,208.469936
-5.0,1,208.616099
8.615645,10,209.820182
-1.318719,6,210.113857
