#{"t_start": 1764568020.4978087, "env_id": "intersection-v1"}
r,l,t
8.615645,10,1.313246
-2.687862,6,1.607417
2.234587,13,2.191544
-1.0,4,2.316088
-1.372771,6,2.549471
-3.434136,8,2.781861
-1.436972,7,3.158148
7.62673,10,3.591844
-4.04988,8,4.033459
1.0,13,4.694238
2.974657,13,5.095693
-1.39348,9,5.517727
2.889382,13,6.150834
-3.356173,7,6.343264
3.550133,13,6.774201
-3.524813,9,6.965661
-5.0,1,7.054645
-2.837212,12,7.519351
5.02584,13,7.917884
-2.474827,10,8.269631
-1.318719,6,8.544771
-2.0,9,8.850655
-2.373197,6,9.00456
-1.379585,6,9.173976
7.617435,9,9.497227
4.633166,13,9.973309
-2.0,6,10.257985
1.537112,13,10.941644
-2.676484,6,11.19869
5.0,6,11.369888
7.626732,9,11.699326
3.469079,13,12.202569
0.0,13,12.59058
-1.379585,6,12.840941
-2.955889,4,13.049585
2.0,13,13.503851
-2.318366,7,13.811407
5.106669,11,14.125537
-3.527083,11,14.677446
3.534417,13,15.35289
0.0,6,15.553448
-0.382068,7,15.821378
-1.373258,7,16.063197
-1.372771,6,16.303537
-2.0,6,16.619354
-1.436972,6,16.91193
3.523131,13,17.510644
6.932988,11,17.804289
3.461702,13,18.300282
3.309281,13,18.803608
-2.0,5,19.099562
5.928971,10,19.549676
-3.511246,6,19.912378
4.15887,13,20.241817
-5.0,13,20.653751
-4.0,2,20.749744
2.559489,13,20.991307
1.627156,13,21.707743
0.0,6,21.895244
5.0,11,22.603682
8.968396,13,23.064218
0.0,6,23.264969
-4.0,11,23.834351
-4.704058,10,24.401953
-0.382579,9,24.720875
0.695809,13,25.307909
-2.365057,6,25.598034
-3.450194,10,26.102986
1.803964,13,26.923922
-1.0,5,27.167241
3.036583,13,27.788184
7.681208,9,28.222737
3.0,13,28.65817
6.175093,11,28.812339
-1.379585,6,29.008682
5.549861,13,29.681417
0.0,13,30.345198
7.626732,9,30.681577
-0.382068,7,31.050205
0.0,8,31.370726
0.0,6,31.568793
1.0,7,31.89275
4.833968,13,32.486797
2.461949,13,33.086894
-1.366575,6,33.39432
2.0,13,34.365043
7.0,11,34.902007
-1.0,6,35.164868
5.223175,13,35.709079
2.240655,13,36.275731
-1.0,5,36.572759
3.174336,13,37.196008
2.551713,13,37.663468
0.0,13,38.191687
-2.370348,7,38.630744
8.618513,10,39.191595
-1.690719,7,39.493855
8.618513,10,39.796978
-3.395341,9,40.241062
0.0,6,40.510325
2.0,13,40.970943
0.0,6,41.239985
6.15516,12,41.88218
1.0,13,42.42457
0.604273,13,43.238355
3.0,13,43.873225
1.536648,13,44.602787
-4.448546,9,44.900329
-2.0,6,45.232466
3.256112,13,45.722036
-1.0,6,45.92289
-3.631866,6,46.147756
5.804774,13,46.594032
-3.316297,6,46.843506
-2.0,5,47.064121
-3.447459,9,47.703636
-1.676732,11,48.077976
7.552042,11,48.570288
0.0,6,48.752766
-3.434136,9,49.08764
-3.447946,7,49.401422
5.22037,13,49.872573
7.353108,10,50.177896
-2.382567,7,50.491698
0.604545,13,50.941333
6.23198,10,51.492358
0.0,13,52.031721
-1.318719,6,52.243074
-1.57953,4,52.436751
1.551705,13,52.834292
5.471395,13,53.360207
-2.53797,10,53.9321
-2.318366,6,54.116088
-2.370348,7,54.526574
0.0,13,54.811622
2.0,13,55.702836
-2.745505,5,55.919332
-1.372771,7,56.276921
-2.0,7,56.475317
-1.379585,7,56.8405
0.0,6,57.143364
3.286283,13,57.832216
7.242743,10,58.165635
0.617847,13,58.76818
4.563028,13,59.19937
-2.687862,6,59.559508
-1.524506,9,59.905502
6.626744,12,60.333217
-2.373197,7,60.581285
-3.447459,8,60.935223
-2.644326,6,61.183424
1.472927,13,61.699789
1.959467,13,62.484227
-3.0,13,63.127292
2.459713,13,63.390388
0.0,6,63.609295
0.0,5,63.866425
-2.370348,5,63.995509
2.462005,13,64.464322
5.618567,13,64.893311
-2.527139,13,65.454457
-2.22268,5,65.654351
-3.513979,9,65.957387
4.195557,13,66.496712
-2.444964,7,66.795729
-0.373185,6,67.093821
2.525092,13,67.773638
2.151824,13,68.164115
4.0,13,68.753809
6.45908,13,69.390913
0.0,13,69.924083
4.832877,11,70.395286
2.551386,13,71.013222
0.559444,13,71.546803
0.0,13,72.249139
1.0,13,72.871114
-1.318719,6,73.062095
1.683703,13,73.535343
1.231826,13,74.156768
0.0,13,74.389962
1.683703,13,74.936728
-4.370775,7,75.272388
-2.702524,7,75.589861
-3.434136,5,75.846677
-1.57953,4,76.14017
-1.379585,6,76.376363
4.633166,13,76.75038
0.0,6,76.992344
4.886496,11,77.667325
-3.386415,13,78.272285
-2.449821,9,78.681897
-1.318719,6,79.036342
-3.450588,13,80.196629
-1.476802,11,80.649927
3.233828,13,81.17136
-1.379585,6,81.448306
6.141239,13,82.125705
-0.373185,6,82.444125
3.0,13,83.123553
-4.0,7,83.511472
3.627229,13,84.060211
3.0,13,84.746886
4.549852,13,85.496957
-2.436558,8,85.836098
1.0,13,86.664174
-2.373197,6,86.819944
2.472917,13,87.439267
-2.288439,6,87.718746
-2.0,5,87.84421
-3.0,12,88.310915
2.462098,13,88.650906
1.0,13,89.231057
6.090871,13,89.985893
-2.318366,7,90.207403
4.161199,13,90.964545
-1.318719,7,91.216838
-2.370348,12,91.709365
3.549806,13,92.423775
7.633114,11,92.880893
9.0,9,93.480228
-1.0,5,93.776251
1.643827,13,94.015381
9.0,9,94.673833
-2.0,6,94.897709
-1.0,5,95.126943
-2.832764,10,95.682505
-1.318719,6,95.874376
6.61852,13,96.467947
-3.439293,9,97.043663
7.0,13,97.638485
0.0,6,97.897788
-1.366575,6,98.133845
-2.0,7,98.510244
-3.046228,6,98.763865
0.0,6,98.974708
7.475492,11,99.37721
-2.436558,6,99.611422
-1.0,6,99.886269
0.0,13,100.72313
-5.0,13,101.601554
0.0,13,102.309951
2.175169,13,102.949147
2.472805,13,103.35184
-2.754064,9,103.680967
6.034338,13,104.310023
2.0,8,104.625428
6.231414,13,105.002045
5.0,13,105.496939
-3.382507,6,105.700975
3.847606,13,106.507214
-2.0,4,106.734667
-2.523997,7,107.168692
-2.370348,6,107.498187
8.297272,13,108.028285
7.616072,10,108.582589
-2.436558,6,108.886047
-0.381164,7,109.121464
-2.4629,9,109.413335
0.0,6,109.538455
-1.0,5,109.73489
-1.0,7,109.987557
10.0,10,110.248446
1.549466,13,110.691916
-1.372771,6,111.049921
3.105215,13,111.685154
-3.0,8,111.946404
-1.0,8,112.38228
5.0,13,113.243799
7.681208,9,113.499093
5.552129,10,113.862051
4.486392,13,114.343946
-3.35427,7,114.553365
-3.0,9,114.921969
-1.0,5,115.196228
3.15914,13,115.622558
10.0,10,116.051908
-3.127664,7,116.562678
2.0,13,116.985021
-3.450586,11,117.61405
-1.449821,10,118.176867
-1.373258,7,118.515019
-2.0,4,118.698322
-3.447459,5,118.833705
-3.772493,11,119.447373
10.0,10,120.074804
0.0,7,120.284051
1.0,13,120.695059
2.629652,13,121.395886
9.0,9,121.834015
0.60432,13,122.666319
-2.537503,8,122.913986
-1.0,5,123.124784
10.0,10,123.478995
-3.434136,10,123.960509
-2.373197,11,124.451867
0.0,7,124.81799
9.0,9,125.340068
5.62673,13,125.881174
1.0,13,126.293405
-2.318366,8,126.666435
-1.524506,9,127.128105
-0.31878,7,127.346878
-2.208147,5,127.527343
-2.687862,6,127.826208
8.0,12,128.141629
1.474734,13,128.821244
0.0,6,129.033182
-2.0,4,129.240805
4.496497,13,129.865161
-2.0,4,129.963682
7.626732,9,130.249236
-1.372771,6,130.608601
-2.0,6,130.836128
9.0,9,131.258023
1.0,13,131.683533
0.333119,7,131.882644
0.0,5,132.088082
-2.460707,8,132.397265
-1.372771,6,132.576168
-2.0,5,132.742006
2.473313,13,133.188421
-1.299552,4,133.387101
8.616025,10,133.735957
4.25167,12,134.125002
-2.0,5,134.312848
8.250188,11,134.709153
0.0,13,135.808789
2.194004,13,136.209791
-1.318719,6,136.397035
3.0,13,137.211483
-1.0,5,137.396105
-2.437045,7,137.60658
-3.028813,8,137.98915
-1.0,5,138.215354
5.475494,13,138.821774
-1.691921,6,139.045991
-1.447446,7,139.358483
0.695809,13,140.032393
-2.0,6,140.253938
8.617423,10,140.588456
6.539093,10,140.974761
6.62673,13,141.622116
-0.366834,7,141.900942
4.485999,13,142.20782
7.552044,10,142.547477
-1.0,6,142.905151
8.0,11,143.351926
-2.382567,7,143.629685
-4.0,7,143.821049
-2.222375,5,144.070123
-1.0,6,144.330767
7.97662,12,144.567458
-2.365057,6,144.813356
5.178953,13,145.260115
9.0,9,145.705023
2.604283,13,146.088161
0.68121,8,146.330136
3.549805,13,146.957963
-1.0,5,147.162214
7.101684,12,147.64533
9.0,9,147.979281
7.617435,9,148.379587
8.633113,10,148.6849
-1.318719,6,148.989296
-1.290922,7,149.347859
-2.286128,6,149.59235
-0.299923,5,149.784184
-3.34799,6,149.978661
-3.364764,6,150.230592
-3.0,9,150.544551
7.617435,9,150.758885
-1.539738,8,151.095532
-0.31878,7,151.320074
-2.373197,6,151.517917
-5.0,1,151.615084
-1.379585,6,151.804888
8.250577,11,152.22944
-1.0,5,152.531832
-1.462869,8,152.774638
6.615917,13,153.276414
7.0,13,153.891508
5.552057,13,154.394806
-2.772656,11,154.812584
4.536979,13,155.240596
-2.0,7,155.612988
3.475494,13,156.229263
8.615645,10,156.363822
