#{"t_start": 1763010066.616523, "env_id": "None"}
r,l,t
59.236965,64,1.070224
64.363525,68,1.113578
63.948498,68,1.113828
95.867294,105,1.246335
99.273834,108,1.257249
106.63965,120,1.29726
59.38771,63,1.320284
119.707146,139,1.360847
65.977776,72,1.365268
67.11458,72,1.365312
144.03949,159,1.428317
64.611786,70,1.490947
83.8035,89,1.622001
104.48741,119,1.649214
84.75566,93,1.67727
126.01921,148,1.802164
120.15661,139,1.839617
104.95549,115,1.886483
103.00679,115,2.032176
160.26866,197,2.053057
110.49469,123,2.115347
122.59,138,2.145942
189.01561,210,2.171831
58.05356,62,2.252199
115.31053,127,2.296772
66.67381,73,2.310723
121.407394,134,2.369577
139.32011,170,2.407179
100.273125,110,2.495798
89.630554,105,2.531951
76.13392,85,2.608506
123.92795,135,2.616033
96.354034,108,2.629339
106.56755,119,2.7141
108.20353,118,2.781145
100.21233,108,2.785391
107.69825,122,2.953826
84.87686,96,2.958425
130.7223,145,3.001837
76.532,84,3.066607
139.68332,157,3.146224
120.92803,138,3.184676
142.91156,168,3.191682
123.998,138,3.419032
136.60052,147,3.45367
173.81673,215,3.513343
161.35495,179,3.677648
172.03322,201,3.691437
146.18942,161,3.700432
67.97123,72,3.711902
147.43977,158,3.737244
137.04361,166,3.76164
120.94023,137,3.900425
69.7803,74,3.953943
116.908844,130,3.968527
98.13427,108,4.060433
97.526794,110,4.118948
80.99462,88,4.216761
136.90216,164,4.306033
158.31575,174,4.314725
87.24943,93,4.322315
122.95341,138,4.469908
99.28614,109,4.480611
164.7574,211,4.522549
110.41421,124,4.578732
78.76756,87,4.618853
116.60031,132,4.692547
100.59336,112,4.709481
69.78336,75,4.723509
87.7553,96,4.907225
161.98439,179,4.928957
133.73212,160,5.071179
100.46735,112,5.111375
128.50467,144,5.115059
111.97276,124,5.123136
157.56668,194,5.14627
82.64778,91,5.220254
93.62067,103,5.283305
191.53148,218,5.454551
98.36257,106,5.478683
117.97232,135,5.526852
115.87749,130,5.550789
115.89012,130,5.554525
113.81961,123,5.561813
115.86088,128,5.65068
106.523674,117,5.674453
90.53576,96,5.778589
62.12317,66,5.871505
107.63321,118,5.921902
73.5119,81,5.945534
113.81894,126,5.983565
62.294617,67,6.00345
132.35603,156,6.003502
135.64989,160,6.090322
148.02463,168,6.119972
88.587006,95,6.242011
101.45065,119,6.273266
75.753334,79,6.383965
113.62903,126,6.407886
121.21683,140,6.475086
108.72704,119,6.489522
85.87554,92,6.587035
144.05872,173,6.591006
96.547585,108,6.611766
175.54465,214,6.671977
94.78505,104,6.76447
102.22779,111,6.764515
82.433754,88,6.906412
91.459656,101,6.930545
72.3052,79,6.938371
117.32681,137,6.942311
79.37553,88,7.059121
141.819,174,7.0792
138.39986,160,7.12873
94.48973,108,7.128773
86.861855,92,7.219531
85.21827,89,7.243268
62.58912,67,7.286024
115.663445,124,7.3559
122.99624,139,7.401981
90.6766,102,7.426127
84.078705,91,7.527449
109.40026,125,7.551973
132.4581,148,7.631987
75.20348,83,7.644677
105.75648,118,7.648795
116.18854,132,7.741224
86.07998,90,82.21152
85.02648,91,82.220962
122.47909,137,82.294077
137.54137,167,82.380158
185.46783,205,82.385251
107.562096,118,82.42642
124.6125,151,82.435157
168.37924,219,82.464418
104.680756,115,82.648116
79.36576,86,82.696569
118.27368,131,82.70124
116.446434,133,82.785771
87.51931,98,82.822267
113.80942,124,82.840498
66.19673,71,82.956257
64.03754,67,83.028202
86.71074,93,83.03988
86.83446,92,83.169864
61.501995,65,83.18884
191.45819,211,83.193134
140.13452,160,83.228612
171.55458,221,83.23622
105.15675,117,83.24412
101.11602,112,83.425898
107.77633,118,83.459536
88.912315,94,83.526407
81.11846,87,83.541528
92.0647,99,83.549466
98.121796,106,83.554017
97.81518,109,83.636382
122.95323,137,83.727653
73.969666,79,83.74664
56.026386,58,83.757894
65.78201,69,83.776549
64.29813,69,83.801856
90.69113,99,83.897451
122.66927,140,83.933738
67.46638,71,83.984097
64.86295,68,83.993078
90.89227,101,84.119046
67.4603,70,84.182757
144.40149,167,84.233821
129.30403,137,84.292112
114.52839,123,84.339177
115.6208,127,84.441279
150.7773,185,84.441318
120.433685,137,84.486669
85.35566,91,84.51872
122.37923,141,84.634945
93.31804,98,84.653382
61.31352,64,84.680155
109.962555,121,84.6802
65.91353,69,84.698905
81.37299,89,84.812775
116.89203,134,84.83097
63.93499,68,84.924448
75.43985,81,84.947031
101.64854,110,85.096071
142.54684,167,85.125751
122.14319,137,85.133275
110.55959,126,85.137929
78.80299,84,85.230858
107.261795,120,85.26737
102.85736,115,85.363023
175.04526,193,85.509511
104.594536,113,85.539184
76.63611,84,85.568355
