#{"t_start": 1764113505.00061, "env_id": "None"}
r,l,t
8.208886,9,1.032727
8.116608,9,1.032778
10.138889,11,1.051236
15.750061,18,1.104159
16.564972,19,1.112589
8.02811,9,1.121415
10.615039,12,1.129869
17.683327,22,1.137918
14.461004,18,1.176628
23.813969,28,1.185413
12.750891,14,1.209968
27.73935,35,1.231805
13.273342,16,1.250835
16.304905,18,1.260824
8.947544,10,1.291041
19.922699,24,1.299349
15.916061,17,1.316453
16.583958,20,1.328681
12.699361,14,1.339892
27.544596,30,1.360974
12.215304,14,1.361002
9.76386,11,1.415084
20.74445,23,1.415121
13.828864,16,1.422976
11.847289,13,1.456113
19.353834,24,1.464083
14.768304,17,1.486388
10.852182,12,1.514063
24.15812,32,1.53467
16.028475,18,1.56365
11.20776,13,1.56369
27.739952,31,1.563698
7.3021374,8,1.588469
14.733384,17,1.60784
20.03123,23,1.607891
15.270584,17,1.630992
8.588195,10,1.645698
17.464535,20,1.694596
12.936581,14,1.694632
11.680955,13,1.703013
15.610596,18,1.703053
22.083893,24,1.74644
8.711602,10,1.770324
8.974935,10,1.824137
15.853249,17,1.83452
24.168528,31,1.843944
22.737947,26,1.843979
16.184576,19,1.850684
26.655787,32,1.871304
12.619529,14,1.879136
9.824428,11,1.914131
22.438435,30,1.921661
11.5727415,13,1.944363
15.472665,17,1.955646
14.125652,16,2.002795
15.111959,17,2.002835
8.919791,10,2.002842
12.270822,14,2.024607
7.914795,9,2.073286
25.826817,31,2.084312
8.810716,10,2.084348
14.069101,16,2.084358
15.755351,18,2.091524
28.538286,34,2.104848
12.67883,15,2.141685
17.160072,20,2.156267
8.750691,10,2.156308
13.8144245,15,2.19726
11.14378,13,2.205141
8.311111,9,2.214161
15.368826,17,2.214196
16.962215,20,2.228883
9.587457,11,2.244009
21.496353,25,2.281969
11.248121,12,2.291268
16.032957,18,2.302101
17.702814,20,2.364359
14.5775,16,2.372687
20.620417,24,2.403099
15.194261,18,2.441625
24.83919,29,2.44166
8.05667,9,2.4685
22.320002,25,2.485763
27.607443,34,2.497366
14.546188,16,2.497391
