#{"t_start": 1763266889.897789, "env_id": "None"}
r,l,t
-0.34317744,35,0.882398
-0.29168618,37,0.969852
4.0834675,164,1.356359
2.5375865,139,1.675977
-0.2734329,40,1.767002
-0.26497543,37,1.851513
-0.34913588,36,1.934111
-0.25232506,39,2.019615
-0.28195024,41,2.113467
3.6879506,199,2.547568
217.25548,600,3.84198
3.8123198,163,4.225782
-0.30258232,36,4.310444
-0.3066752,35,4.39515
-0.2890073,37,4.482778
7.647723,293,5.157482
4.155645,172,5.721626
-0.27188402,40,5.815101
3.7071743,188,6.265893
-0.26871735,39,6.362278
8.747994,304,7.079239
-0.30015594,39,7.17645
-0.24323875,41,7.269654
4.2733183,156,7.632594
3.6640615,164,8.000574
8.036043,294,8.6333
0.87211955,101,8.856657
-0.31341362,38,8.942501
0.39201403,72,9.105069
7.26859,312,9.815784
3.9143357,184,10.234325
-0.26041722,40,10.416859
208.13657,600,11.712084
4.1633434,213,12.177735
3.3956275,190,12.608808
-0.13903493,39,12.697401
-0.29529196,42,12.790079
199.06383,600,14.107435
9.88291,347,14.974424
3.8492603,189,15.392353
-0.28692812,37,15.476411
-0.29213524,37,15.567551
8.063436,291,16.210284
6.8147216,243,16.726798
3.951929,161,17.078591
-0.30046308,39,17.167639
4.4548965,220,17.692046
-0.28387225,38,17.780588
3.4985766,170,18.157707
-0.2962824,39,18.252452
3.677146,179,18.658275
-0.2095455,42,18.758171
3.073759,150,19.087948
3.2547941,144,19.419058
-0.34458172,34,19.499701
8.560885,320,20.310273
87.61159,465,21.39476
8.129635,285,22.106933
-0.2639938,39,22.224144
4.105428,166,22.6504
211.91658,600,24.028406
227.45479,600,25.519095
4.163075,176,25.909504
5.7699757,295,26.622186
6.513429,282,27.304701
217.18182,600,28.620939
-0.28078097,40,28.772523
-0.26500702,42,28.8798
4.2974024,254,29.545914
-0.44390422,39,29.639506
-0.23417377,37,29.730874
220.44727,600,31.103777
-0.23165393,41,31.20313
92.324745,485,32.367104
210.41997,600,33.68627
8.200255,300,34.455401
7.5500174,260,35.109849
4.076852,175,35.519499
3.189796,168,35.920217
2.2438347,122,36.216723
-0.2834494,38,36.309268
-0.32353413,39,36.403069
4.0395947,182,36.816287
2.8863904,155,37.192605
0.05423665,67,37.351042
-0.4275648,35,37.436019
7.9235086,280,38.058895
3.671195,188,38.488222
8.3356695,309,39.310451
133.35815,526,40.532945
3.973568,179,40.941469
5.7274113,258,41.550025
-0.30022812,37,41.666022
2.8232698,135,41.974297
2.5459487,137,42.289043
3.4608498,191,42.744352
3.7806268,174,43.155622
3.9024982,185,43.570851
1.4829838,109,43.836476
-0.077753186,51,43.961094
6.126505,240,44.603443
210.13579,600,46.039137
8.055332,321,46.815489
7.8421288,297,47.554914
3.9176674,183,47.991693
8.011188,281,48.625123
0.8756511,94,48.84036
3.0410318,176,49.345554
250.05717,600,50.713701
7.767315,332,51.451769
2.6950743,172,51.880755
3.7308683,175,52.291555
-0.26028925,43,52.393189
-0.2450189,43,52.499088
3.4963403,166,53.201752
226.30505,600,54.685408
6.992235,267,55.339205
7.371846,294,56.120094
4.9352202,199,56.579068
7.697613,314,57.330031
3.6361427,162,57.714495
7.8742046,303,58.419161
3.603178,167,58.816446
1.6368449,109,59.084198
3.014492,169,59.606978
45.759357,408,60.592809
98.27811,431,61.590001
7.8515196,325,62.372298
5.1150284,250,62.970584
3.8231406,154,63.321759
87.49485,489,64.520138
-0.47544974,39,64.62008
2.4260497,176,65.036415
-0.3617382,42,65.139672
73.00802,465,66.204042
11.5269575,358,67.011971
173.92572,600,68.455328
173.05516,600,69.904383
221.63815,600,71.235235
3.3627462,218,71.740438
7.027323,278,72.417602
3.664113,182,72.858151
8.114994,328,73.663875
208.75812,600,75.140761
166.29169,600,76.636573
26.740982,435,77.662686
8.218104,335,78.429079
4.06923,203,79.014952
3.5346036,198,79.48012
166.70575,600,80.8918
2.7136931,153,81.273608
7.5148134,312,82.041666
128.368,539,83.349217
3.1698165,183,83.894978
191.58612,600,85.222282
5.3161616,247,85.812598
7.247196,291,86.562169
7.059806,333,87.349009
3.4922132,195,87.824365
7.9899864,361,88.682061
160.89897,600,90.149527
210.55748,600,91.475658
8.657765,357,92.371594
2.7106051,195,92.821731
162.15506,600,94.335924
3.5866451,202,94.826761
174.35464,600,96.181701
-0.38961947,41,96.282311
40.97574,438,97.326569
180.96576,600,98.81836
3.4026012,188,99.241318
3.5867023,196,99.718848
159.82878,596,101.089179
146.06804,576,102.41701
3.6018434,184,102.832358
190.86253,600,104.200079
7.212145,377,105.100087
-0.31623906,48,105.215976
7.865494,359,106.083821
3.6692815,202,106.554253
7.7207403,325,107.291641
161.5434,600,108.823541
7.4094877,345,109.643297
167.79443,600,111.027952
1.5066671,117,111.310192
174.87054,600,112.798242
158.3515,600,114.329456
160.44177,600,115.720011
7.1490936,346,116.525798
160.57007,600,117.902818
164.4571,600,119.369685
-0.3311283,44,119.47543
6.8013444,340,120.267758
7.0845385,383,121.176639
3.8816833,386,122.105778
7.6143475,332,122.994934
6.9649124,360,123.84337
2.5501897,342,124.670801
5.8005886,389,125.600662
117.53713,537,126.872588
7.2784204,302,127.55805
166.10445,600,129.265341
163.96225,600,130.689524
-0.4236433,43,130.796021
164.77214,600,132.189011
163.34056,600,133.771895
149.96237,564,135.218171
172.94077,600,136.926989
107.55812,537,138.338253
140.45692,566,139.846076
170.7103,600,141.52553
153.69853,600,142.937548
3.0597067,283,143.604757
154.50371,600,145.180962
153.48149,600,146.654653
157.54909,600,148.04721
6.8845406,336,148.959414
153.74573,600,150.548812
158.7578,600,151.977829
167.5174,600,153.37343
133.62166,572,154.847732
2.3645427,282,155.515322
159.51106,600,156.898429
5.533108,391,157.843456
157.06027,600,159.309672
161.18097,600,160.69528
164.02707,600,162.065504
161.4113,600,163.602324
155.05591,600,165.336102
6.8561187,378,166.404623
150.57301,600,167.923277
155.73822,600,169.521643
152.94582,600,171.032292
3.4338202,207,171.552009
152.21442,600,173.238233
3.5000982,200,173.947202
152.6464,600,175.458873
155.20506,600,176.913269
4.1402655,227,177.457916
149.27448,599,178.960852
156.69456,600,180.440792
5.934366,284,181.106645
2.8974094,273,181.773746
-0.36913872,42,181.935861
147.71587,600,183.369347
151.71034,600,184.897018
153.30289,600,186.395058
152.87091,600,187.867613
7.5732527,344,188.879649
141.81291,594,190.537455
151.81436,600,192.054363
151.1433,600,193.517204
152.30037,600,195.167761
153.28171,600,196.653853
152.17235,600,198.127601
0.26970136,60,198.284713
149.62582,600,199.771299
151.46277,600,201.406395
151.724,600,202.874281
153.1133,600,204.214866
149.39973,600,205.657082
153.59618,600,207.272705
150.7064,600,208.727811
3.6512303,196,209.200961
152.83499,600,210.626899
-0.11497575,50,210.751287
152.94868,600,212.233393
149.29657,600,213.648581
150.6071,600,215.079628
154.33696,600,216.596454
149.38542,600,218.278148
152.81381,600,219.888668
150.14459,600,221.378071
87.10131,520,222.606225
5.6925344,272,223.218193
155.67827,600,224.585946
5.3258953,264,225.209382
154.57388,600,226.686458
157.42691,600,227.995126
153.8134,600,229.388165
1.2021191,100,229.63647
150.085,600,231.109725
157.10623,600,232.543102
155.13147,600,234.084342
153.92163,600,235.477453
149.99777,600,236.989486
7.814123,349,237.848009
148.3721,600,239.276302
148.57632,600,240.724091
154.3751,600,242.209159
150.90283,600,243.601849
149.24754,600,246.092718
152.01048,600,250.358029
164.64592,600,251.898684
151.99557,600,253.747231
5.737421,278,254.720104
149.57253,600,256.418295
149.60368,600,258.191093
155.59763,600,259.589039
147.68819,600,261.166461
7.022894,360,262.026656
8.858788,371,262.942932
148.9659,600,264.384595
148.19669,600,265.903535
150.40836,600,267.317649
150.36086,600,268.781117
96.05583,538,270.146319
151.05612,600,271.71833
148.56989,600,273.222327
9.474739,372,274.16243
150.06152,600,275.629131
150.49124,600,277.222889
147.557,600,278.628037
148.61166,600,280.023018
152.08171,600,281.586432
157.68356,600,283.051873
151.27554,600,284.457013
147.12724,600,285.875218
148.3256,600,287.35698
149.78941,600,288.844204
151.49629,600,290.240204
148.91676,600,291.759257
150.36665,600,293.428958
148.39948,600,294.8452
4.0353746,231,295.449296
149.6518,600,297.194201
150.94917,600,298.620662
150.76619,600,300.016782
149.84813,600,301.493796
150.17787,600,302.902935
4.2122254,229,303.458719
152.47455,600,304.928714
150.89047,600,306.318306
149.82162,600,307.730778
149.18582,600,309.061709
149.36087,600,310.439773
149.0567,600,311.971567
150.55507,600,313.367997
4.838217,210,313.891651
7.9225607,311,314.630745
9.264577,355,315.451142
150.46329,600,316.908122
150.05505,600,318.29608
144.30516,594,319.89344
150.59158,600,323.455241
150.28491,600,325.049519
150.4666,600,326.734222
148.98131,600,328.205889
150.12328,600,329.910064
150.50056,600,331.570038
150.49817,600,333.312958
151.5954,600,335.00612
2.5525777,131,335.321608
5.5499372,350,336.151784
150.87329,600,337.804228
150.40579,600,339.335582
151.73991,600,341.335553
150.84828,600,343.447696
9.129466,350,344.378523
151.65663,600,346.077364
-0.058600247,42,346.36749
152.39172,600,347.925476
5.855735,231,348.503014
152.49501,600,349.90199
-0.1364454,42,350.003856
152.31316,600,351.492215
151.43706,600,353.070457
115.6785,559,354.474292
151.56677,600,356.109679
152.37303,600,357.645413
151.72179,600,359.158502
8.414813,337,359.973968
151.70973,600,361.482331
150.77242,600,363.032542
142.79344,593,364.460309
3.7301836,170,364.867828
151.2065,600,366.294136
151.49991,600,367.70094
151.14839,600,369.158445
123.026764,568,370.612293
150.97337,600,372.13252
151.76837,600,373.627654
150.92227,600,375.174196
4.6215997,203,375.722898
107.25166,549,377.06872
144.60097,595,378.765357
5.6001925,234,379.390062
151.14163,600,380.954594
150.56755,600,382.487971
149.31084,600,384.224483
6.419671,423,385.21939
149.9783,600,386.820656
5.2700057,268,387.474505
2.368658,134,387.838636
150.41167,600,389.806981
146.97963,600,391.150823
150.24332,600,392.568247
150.40477,600,394.109822
0.7506356,79,394.307963
149.24507,600,395.767707
148.51833,600,397.257167
104.90702,546,398.771388
149.60185,600,400.235189
148.66347,600,401.702677
149.56332,600,403.167158
149.32178,600,404.682957
150.65332,600,406.108958
148.66176,600,407.57155
151.62033,600,409.091864
151.26299,600,410.497536
2.7483895,154,410.881333
149.38515,600,412.279471
146.29082,600,413.773667
149.14996,600,415.187977
151.14473,600,416.598074
147.50504,600,418.023527
149.31848,600,419.564837
150.22502,600,420.953958
150.14763,600,422.349046
148.90312,600,423.813912
149.35666,600,425.175807
150.20499,600,426.565544
147.75438,600,427.874304
150.09671,600,429.393564
150.00534,600,430.774021
149.80055,600,432.215509
149.13702,600,433.772377
151.68845,600,435.17099
148.47325,600,436.621979
149.52887,600,438.082788
4.029774,188,438.522994
150.08812,600,439.937123
4.1622357,201,440.419952
4.523358,207,440.904647
9.993446,376,441.776843
149.94334,600,443.24432
151.03839,600,444.63407
150.19339,600,446.060658
150.03001,600,447.459037
151.92935,600,448.940292
149.47165,600,450.3237
111.58007,556,451.647458
8.237281,365,452.519648
150.06279,600,454.046473
148.28001,599,455.512596
151.15776,600,456.969445
150.5698,600,458.432133
149.65498,600,459.797569
150.84007,600,461.176568
149.08356,600,462.669286
151.92833,600,464.053784
150.1201,600,465.417402
7.0263977,280,466.096795
149.335,600,467.559405
151.09726,600,468.933072
4.0380316,183,469.359246
150.74594,600,470.77426
147.33173,597,472.286037
2.272175,125,472.622051
151.16988,600,474.086916
149.99933,600,475.521361
150.1649,600,476.90025
111.093056,553,478.33985
4.637625,192,478.842968
151.46841,600,480.210749
108.840744,552,481.529561
4.9569173,222,482.099362
0.84918463,78,482.392685
150.94836,600,483.784132
150.00287,600,485.19585
151.75597,600,486.582383
151.48334,600,488.105883
151.57838,600,489.499768
151.28839,600,490.895149
151.23505,600,492.35073
151.01671,600,493.790697
150.4401,600,495.164047
151.15318,600,496.539626
151.09511,600,497.941853
151.28018,600,499.294068
150.03003,600,500.661426
150.8801,600,502.178171
104.93011,548,503.472323
152.47513,600,504.861879
109.38681,552,506.19256
150.2484,600,507.641923
151.0401,600,509.041379
151.20004,600,510.445016
150.53003,600,511.91811
8.074493,371,512.775925
151.56622,600,514.214329
150.82838,600,515.585988
150.67024,600,517.061139
150.325,600,518.460148
149.11374,600,519.79825
151.1601,600,521.32372
116.94679,561,522.680569
150.85133,600,524.06456
150.02843,600,525.458065
4.7457223,216,526.086122
148.78839,600,527.509888
3.005138,144,527.855033
151.88008,600,529.250405
149.49666,600,530.562514
8.474192,367,531.494992
4.9166255,211,532.001555
144.09003,593,533.578696
148.3738,599,535.036857
151.3283,600,536.528969
149.20006,600,537.939483
151.14001,600,539.332354
150.64009,600,540.892466
151.41667,600,542.308643
145.0384,595,543.725758
149.3867,600,545.0377
149.60004,600,546.504687
9.393728,401,547.438792
152.11673,600,548.824956
150.83163,600,550.240498
4.856723,205,550.817194
149.73174,600,552.272207
9.918431,368,553.144133
4.0892467,181,553.572495
151.65337,600,554.946362
151.80005,600,556.426526
151.96774,600,557.875913
151.64003,600,559.304988
151.98006,600,560.768662
151.12836,600,562.135354
150.83676,600,563.504571
150.64041,600,564.850265
149.5168,600,566.344537
150.91663,600,567.741505
150.6601,600,569.15186
150.27666,600,570.665689
152.08844,600,572.127102
151.62836,600,573.567562
151.20506,600,575.05432
1.1117435,83,575.272988
151.7467,600,576.653304
147.33342,596,578.09979
150.38005,600,579.408362
149.94507,600,580.921565
151.70009,600,582.31765
150.76242,600,583.71697
2.4474232,230,584.263714
151.39833,600,585.743089
152.15845,600,587.185321
152.23836,600,588.57651
5.073016,280,589.238441
2.3362567,122,589.618468
153.60344,600,591.021672
137.94351,585,592.417256
3.6364503,164,592.921621
152.70671,600,594.383056
152.50006,600,595.893923
152.27835,600,597.25691
150.16704,600,598.701342
151.77684,600,600.251161
152.46501,600,601.758677
141.88011,589,603.194438
6.4615555,259,603.808709
152.81839,600,605.307379
130.19351,575,606.736101
152.43254,600,608.167689
152.32504,600,609.674663
152.4084,600,611.094061
153.02841,600,612.474088
134.34018,580,613.872358
152.58005,600,615.333073
152.90009,600,616.811414
152.90761,600,618.277615
148.55655,598,619.818865
152.86008,600,621.201669
151.92844,600,622.504884
152.66006,600,623.971064
152.72842,600,625.47427
152.16006,600,626.948814
9.671832,342,627.783883
153.19836,600,629.357818
152.44598,600,630.873126
153.42911,600,632.412026
153.04842,600,633.86035
-0.071635365,42,633.984856
7.476389,277,634.797676
153.05017,600,636.245913
153.02852,600,637.786876
-0.071635365,42,637.891345
153.3184,600,639.280485
153.0767,600,640.748019
0.05289316,48,640.865509
153.11836,600,642.242687
-0.071635365,42,642.346968
153.1701,600,643.765305
152.60838,600,645.175208
153.01282,600,646.59812
28.460135,459,647.679013
33.661995,467,648.841947
153.35841,600,650.335604
153.03505,600,651.753403
152.92004,600,653.32314
152.9267,600,654.840626
153.23958,600,656.261161
153.55841,600,657.786391
153.36008,600,659.229025
153.00327,600,660.761147
153.55861,600,662.209241
153.06006,600,663.530549
153.30008,600,665.060504
153.34839,600,666.54385
153.4666,600,667.992291
153.28853,600,669.375896
-0.08612394,42,669.485931
153.41008,600,670.984881
140.60445,587,672.409459
153.5384,600,673.85545
152.48007,600,675.335983
153.14009,600,676.863259
153.38005,600,678.296149
7.894985,283,678.987535
7.926649,284,679.841317
152.9401,600,681.272139
-0.071635365,42,681.374138
153.46843,600,682.839728
4.3313704,278,683.496387
153.0484,600,684.956683
153.3042,600,686.478216
-0.071635365,42,686.584899
153.19012,600,688.064746
153.14006,600,689.470764
153.13841,600,691.006355
-0.071635365,42,691.112597
153.07834,600,692.613981
-0.071635365,42,692.719237
152.76009,600,694.139338
-0.071635365,42,694.24226
-0.071635365,42,694.406601
-0.071635365,42,694.511649
153.14006,600,696.082066
152.62007,600,697.515634
153.09007,600,698.95567
-0.071635365,42,699.062531
101.249565,541,700.529062
5.2772226,210,701.034114
152.15057,600,702.420411
153.06284,600,703.917652
153.30841,600,705.404041
152.96007,600,706.776753
153.02005,600,708.170362
-0.071635365,42,708.272839
153.24008,600,709.660595
66.76791,500,710.918953
153.26007,600,712.366881
7.3534756,283,713.198342
153.35837,600,714.629536
9.610288,343,715.637006
152.98007,600,717.124648
152.77838,600,718.658862
153.06007,600,720.044231
152.82005,600,721.601203
133.61057,579,723.054933
153.12006,600,724.485365
-0.071635365,42,724.59079
153.34389,600,726.112613
4.015163,167,726.519335
152.20009,600,727.918598
152.48009,600,729.323461
-0.018600345,42,729.432273
152.78009,600,730.960411
4.970911,195,731.410174
7.848525,288,732.138748
10.496239,365,733.02856
153.22006,600,734.445354
153.10008,600,735.997623
3.9923034,168,736.436894
153.24008,600,737.888166
-0.071635365,42,737.994573
10.290005,361,738.884041
153.16006,600,740.389205
153.38838,600,741.850169
-0.071635365,42,741.956162
153.13678,600,743.341369
-0.071635365,42,743.445067
3.5921073,152,743.805289
-0.071635365,42,743.913915
