r,l,t,episode
17.236546,25,3.972048,1
10.330635,16,6.104727,2
5.103704,8,7.205038,3
20.526781,31,11.084171,4
6.138771,10,12.399025,5
8.558236,13,14.061066,6
13.371236,19,16.537765,7
7.157447,11,17.964676,8
14.015107,21,20.742572,9
4.260213,7,21.779517,10
10.92381,16,23.892573,11
3.52381,6,24.690342,12
13.310073,20,27.353263,13
5.877082,9,28.605847,14
27.917005,40,33.59291,15
18.265574,26,37.009434,16
10.505076,15,38.980604,17
8.003655,12,40.518894,18
28.999994,40,45.462168,19
3.56376,6,46.228317,20
11.715946,18,48.523493,21
6.609524,10,49.863503,22
6.492418,10,51.140372,23
27.214019,40,56.234217,24
9.795593,14,58.067012,25
9.991164,15,60.133247,26
15.162622,22,63.123404,27
5.253058,8,64.210207,28
7.142857,11,65.755855,29
11.790476,17,68.075722,30
15.46512,21,71.001959,31
10.047619,15,73.020016,32
7.337771,11,74.526055,33
7.380952,11,75.996834,34
7.296054,11,77.488577,35
3.979485,6,78.325571,36
11.12381,17,80.766303,37
4.692864,7,81.796235,38
27.613883,40,86.829521,39
13.24702,20,89.501979,40
2.982809,5,90.171608,41
8.872887,13,91.911513,42
15.266667,22,94.849797,43
27.124486,40,99.92842,44
28.752381,40,105.435462,45
4.187035,7,106.397629,46
12.821941,18,108.966336,47
2.809524,5,109.662246,48
25.621167,36,114.349168,49
16.326382,23,117.694475,50
7.809524,12,119.330127,51
9.657116,14,121.263648,52
5.137679,8,122.367545,53
10.761905,16,124.610717,54
3.582806,6,125.429274,55
8.163526,13,127.168441,56
7.514305,11,128.651639,57
8.492576,13,130.421746,58
5.704762,9,131.626451,59
6.488627,10,132.996724,60
7.304762,11,134.577859,61
11.571429,17,136.836986,62
29.419371,40,142.280373,63
6.051776,10,143.656675,64
19.328769,28,147.409032,65
8.924556,14,149.312536,66
2.319997,4,149.901159,67
4.552835,7,150.833826,68
7.412146,11,152.331794,69
4.678595,7,153.319474,70
4.667566,7,154.309803,71
3.12952,5,154.985679,72
6.257146,10,156.414675,73
26.974734,40,161.639814,74
7.357631,11,163.180674,75
8.685714,13,164.95759,76
5.07613,8,166.035396,77
8.647619,13,167.862781,78
2.915716,5,168.57069,79
7.231799,11,170.113071,80
19.974621,29,173.920007,81
3.817218,6,174.72501,82
4.525967,7,175.672155,83
28.059954,40,180.83115,84
7.809524,12,182.468676,85
3.119996,5,183.169005,86
10.708214,16,185.345372,87
13.966746,20,188.007657,88
3.743122,6,188.813651,89
11.004695,17,191.180382,90
17.455828,25,194.514388,91
26.583669,37,199.473585,92
4.114286,7,200.457305,93
6.217859,10,202.069846,94
21.112321,31,206.35579,95
4.327067,7,207.305548,96
13.358207,19,209.867592,97
6.335037,10,211.18572,98
9.020347,13,212.978737,99
5.066667,8,214.067028,100
3.495238,6,214.862825,101
27.973922,40,220.036434,102
4.239688,7,220.998434,103
6.805253,10,222.753657,104
8.271314,12,224.469388,105
20.939407,30,228.630361,106
4.085714,7,229.598085,107
4.142857,7,230.553163,108
4.622305,7,231.524557,109
3.610961,6,232.343352,110
9.88814,15,234.409777,111
3.000757,5,235.089502,112
3.548566,6,235.903945,113
8.228297,12,237.657984,114
10.404256,15,239.88862,115
10.785979,16,242.143136,116
12.063926,17,244.527259,117
17.018494,25,247.856495,118
6.047619,10,249.274498,119
10.27619,16,251.418535,120
3.485714,6,252.26146,121
20.981255,29,256.113523,122
5.836729,9,257.344345,123
15.52381,24,260.692593,124
4.478043,7,261.726283,125
18.633486,28,265.397522,126
5.019048,8,266.545449,127
7.939457,12,268.3147,128
7.780327,12,269.985486,129
3.978566,6,270.799003,130
3.044219,5,271.484595,131
12.57616,19,274.131368,132
6.53749,10,275.531638,133
4.742857,8,276.653654,134
12.103657,17,279.478906,135
5.853475,9,280.714303,136
29.476963,40,286.073112,137
16.189677,23,289.172647,138
7.998129,12,290.764371,139
8.733412,13,292.556077,140
9.352381,15,294.623785,141
2.805445,5,295.301183,142
3.438435,6,296.100891,143
6.028872,9,297.312751,144
4.333333,7,298.273713,145
20.884142,32,302.609199,146
19.868833,28,306.334878,147
11.295238,17,308.613188,148
3.657143,6,309.440363,149
14.787006,21,312.253911,150
11.390476,18,314.675224,151
8.17683,13,316.420285,152
7.667518,11,317.982288,153
11.0,17,320.293598,154
7.180952,11,321.984212,155
7.47619,12,323.586823,156
3.786659,6,324.456202,157
4.771429,8,325.711451,158
11.304441,16,327.908195,159
9.434516,14,329.794967,160
8.053519,12,331.43259,161
11.491683,17,333.794557,162
3.685714,6,334.608921,163
2.967353,5,335.27874,164
21.835537,32,339.511975,165
28.063059,40,344.778678,166
18.038769,27,348.206086,167
5.419048,9,349.432126,168
10.838095,17,351.739202,169
5.586232,9,353.00085,170
10.733333,17,355.371374,171
5.382954,8,356.480575,172
8.773815,14,358.516473,173
9.52381,15,360.613447,174
27.369448,40,366.525642,175
10.077653,15,368.536026,176
16.431765,24,371.711096,177
4.220412,7,372.669714,178
