#{"t_start": 1763702262.0168269, "env_id": "Team7-v0"}
r,l,t
17.236546,25,4.126542
10.330635,16,6.230962
5.103704,8,7.294335
20.526781,31,11.195
6.138771,10,12.528816
8.558236,13,14.182204
13.371236,19,16.592154
7.157447,11,18.004886
14.015107,21,20.716514
4.260213,7,21.677373
10.92381,16,23.823354
3.52381,6,24.623899
13.310073,20,27.292164
5.877082,9,28.498299
27.917005,40,33.397468
18.265574,26,36.736671
10.505076,15,38.69863
8.003655,12,40.238009
28.999994,40,45.147275
3.56376,6,45.918308
11.715946,18,48.267977
6.609524,10,49.592916
6.492418,10,50.885572
27.214019,40,56.085176
9.795593,14,57.921692
9.991164,15,59.938179
15.162622,22,62.932783
5.253058,8,63.999394
7.142857,11,65.470112
13.257143,19,68.149428
3.458051,6,68.964896
11.225269,16,71.027221
11.52138,17,73.294969
9.967614,14,75.195595
10.166117,15,77.151988
8.206422,13,78.894391
8.8,14,80.717455
9.428571,14,82.536869
8.780952,13,84.301796
5.384699,8,85.365494
4.295238,7,86.310112
7.352381,11,87.776519
9.679941,15,89.833174
7.337786,11,91.306843
5.009524,8,92.387888
8.718443,14,94.230949
12.424326,19,96.60011
13.171429,20,99.202998
14.27619,21,102.012183
12.238095,19,104.431795
5.927913,9,105.684818
8.823439,13,107.376599
7.630982,11,108.858353
6.057143,10,110.226738
5.155335,8,111.380677
10.295238,15,113.307509
7.37173,11,114.765374
5.190476,8,116.037903
11.577955,18,118.460167
10.685087,16,120.738398
5.789069,9,122.044936
28.100668,40,127.388295
9.824999,14,129.274811
6.0,10,130.649056
12.872573,18,133.083064
23.900606,35,137.83249
28.278339,40,143.065253
15.816578,23,146.142882
7.956535,12,147.93709
4.454681,7,149.046157
9.563006,14,151.007577
8.139453,12,152.915556
7.098366,11,154.454258
18.742857,29,158.402935
14.891162,23,161.45162
9.482093,14,163.322883
19.597106,28,167.20717
5.715062,9,168.497698
27.374328,40,173.496279
4.602485,7,174.463456
10.832533,16,176.825838
4.338878,7,177.772386
4.472015,7,178.726182
8.896653,13,180.471976
19.681586,28,184.257482
5.994766,9,185.481657
10.469017,16,187.69188
3.015645,5,188.398079
8.252414,13,190.154867
5.672892,9,191.440668
28.179553,40,196.799366
8.680758,13,198.696759
4.857143,8,199.747597
11.273242,17,202.346499
12.266252,18,205.345191
3.390476,6,206.320018
10.763333,16,208.801854
19.419015,29,212.936728
8.565622,13,214.682165
8.744805,13,216.483496
7.72381,12,218.085038
13.18238,19,220.534231
28.438091,40,225.675156
10.152381,15,227.682894
10.885597,16,230.202772
12.881563,20,232.887623
6.34471,10,234.268931
7.390476,12,236.208737
12.809291,18,238.689339
3.740894,6,239.533094
4.414376,7,240.522318
15.2,23,243.734936
9.490435,14,245.644202
19.802513,30,249.646769
12.560433,19,251.852491
12.467199,18,254.17532
28.310852,40,259.265644
12.51021,18,261.707012
2.396188,4,262.254381
5.900108,9,263.510642
16.019048,25,266.757999
8.313954,13,268.488117
3.616328,6,269.283996
3.739978,6,270.080787
7.390476,11,271.502281
14.060434,21,274.183386
7.542857,12,275.761371
8.826166,13,277.49858
8.567295,13,279.253015
28.868424,40,283.826522
3.712349,6,284.62381
27.485714,40,289.780397
4.447619,7,290.707231
11.412129,17,292.943425
2.790476,5,293.635147
20.409001,31,297.719024
28.227248,40,302.790261
4.419048,7,303.719785
7.609524,12,305.30104
7.429281,11,306.789306
12.708919,19,309.819993
10.580952,16,312.143188
5.038095,8,313.253704
4.950135,8,314.357008
4.330345,7,315.295839
7.304762,11,316.777034
13.695238,20,319.412997
10.07619,16,321.560335
10.352381,16,323.735389
21.120578,29,327.486818
5.302043,8,328.541596
3.730012,6,329.385298
7.625045,11,330.929653
16.264094,25,333.990431
10.907891,15,336.068217
20.051411,31,340.217383
5.950132,9,341.41381
23.229225,35,345.986212
27.870634,40,351.135541
4.551323,7,352.071431
5.72381,9,353.3575
5.752462,9,354.533674
9.809524,15,356.693618
12.114286,18,359.102371
10.997458,17,361.383974
11.954548,18,363.841639
14.185383,21,366.655324
9.4,15,368.600999
3.773116,6,369.425061
6.443111,10,370.763734
13.590476,21,373.423455
20.126795,29,377.166018
4.915043,8,378.24833
3.015645,5,378.928323
18.58343,26,382.430463
4.142442,7,383.376076
18.434359,28,387.551774
2.856728,5,388.221377
2.980952,5,388.875688
7.371429,12,390.422885
4.391898,7,391.35641
12.161905,19,393.890242
4.35441,7,394.814631
3.610278,6,395.614244
3.585106,6,396.407931
9.532601,15,398.382528
12.571741,18,400.699392
8.857143,14,402.488124
4.410882,7,403.410716
10.680865,15,405.459909
19.766279,28,409.132579
4.714286,8,410.202145
8.6491,13,411.964783
